ID,Title,Description,Role,Phase,Priority,Estimate (days)
OPS-01,Set up Docker Compose for local dev,Postgres Redis backend and frontend running together locally,DevOps Engineer,1 - Requirements & Architecture,High,1
OPS-02,Set up CI pipeline,Lint and test on every push,DevOps Engineer,1 - Requirements & Architecture,Medium,1
OPS-03,Implement KPI calculation engine,Conversion/application/offer/enrollment rate calculations per sec 11,DevOps/Analytics Engineer,3 - Dashboard,High,2
OPS-04,Set up centralized logging,Aggregate app and audit logs for review,DevOps Engineer,4 - Security Hardening,Medium,2
OPS-05,Set up monitoring dashboards,Prometheus/Grafana for app health,DevOps Engineer,4 - Security Hardening,Low,2
OPS-06,Implement backup and recovery,Automated backups with a tested restore process,DevOps Engineer,4 - Security Hardening,High,2
OPS-07,Build forecasting prototype,Enrollment forecasting model per sec 11 advanced analytics,Analytics Engineer,5 - Advanced Analytics,Low,3
OPS-08,Build anomaly detection prototype,Flag source spikes and unusual volumes per sec 11,Analytics Engineer,5 - Advanced Analytics,Low,3
OPS-09,Production deployment pipeline,CI/CD to staging and production environments,DevOps Engineer,6 - Deployment & Testing,High,2
LEAD-01,Taxonomy sign-off workshop,Validate source taxonomy with real admissions staff per PRD sec 6,Project Lead,1 - Requirements & Architecture,High,1
LEAD-02,Resolve open questions,Answer PRD sec 18 items with stakeholders before build,Project Lead,1 - Requirements & Architecture,High,1
LEAD-03,Coordinate UAT with admissions staff,User acceptance testing session before launch,Project Lead,6 - Deployment & Testing,High,2
